"category_slug","category_name_uk","category_name_en","slug","name_uk","name_en","price","brand","frame_size","wheel_size","frame_material","brake_type","fork_type","gears","condition","availability","description_uk","description_en","image_url"
"mtb","Гірські","MTB","summit-pro-carbon-mtb","Summit Pro Carbon MTB","Summit Pro Carbon MTB","2499.00","Summit","L","29""","Carbon","Hydraulic Disc","Air Suspension 140mm","12","new","in_stock","Преміум MTB для агресивних трейлів.","Premium MTB for aggressive trails.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","veloce-road-master","Veloce Road Master","Veloce Road Master","3200.00","Veloce","56cm","700c","Carbon","Rim","Carbon Rigid","22","new","in_stock","Аеродинамічний велосипед для високої швидкості.","Aerodynamic road bike for high speed.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","terra-gravel-explorer","Terra Gravel Explorer","Terra Gravel Explorer","1850.00","Terra","M","700c","Aluminum","Mechanical Disc","Carbon Rigid","11","new","in_stock","Універсальний велосипед для асфальту і гравію.","Versatile bike for tarmac and gravel.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","urban-glide-city","Urban Glide City","Urban Glide City","650.00","CityLife","M","28""","Steel","V-Brake","Rigid","7","new","in_stock","Комфортний міський велосипед для щоденних поїздок.","Comfort city bike for daily commuting.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","volt-e-ride-x","Volt E-Ride X","Volt E-Ride X","3500.00","Volt","L","29""","Aluminum","Hydraulic Disc","Air Suspension 120mm","10","new","in_stock","Електробайк з потужним мотором і запасом ходу.","E-bike with strong motor and long range.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","junior-racer-24","Junior Racer 24","Junior Racer 24","350.00","KidsWheels","One Size","24""","Aluminum","V-Brake","Suspension 50mm","7","new","in_stock","Перший гірський велосипед для юних райдерів.","First MTB for young riders.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","vintage-steel-roadie","Vintage Steel Roadie","Vintage Steel Roadie","450.00","Retro","54cm","700c","Steel","Rim","Steel Rigid","10","used","in_stock","Відновлений класичний шосейний велосипед.","Refurbished classic steel road bike.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","trail-blazer-enduro","Trail Blazer Enduro","Trail Blazer Enduro","3800.00","Summit","M","27.5""","Carbon","Hydraulic Disc","Air Suspension 160mm","12","new","in_stock","Ендуро-модель для складних спусків.","Enduro bike for aggressive descents.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","nomad-gravel-alu","Nomad Gravel Alu","Nomad Gravel Alu","1290.00","Nomad","S","700c","Aluminum","Mechanical Disc","Carbon Rigid","10","new","in_stock","Легкий gravel для подорожей і щоденної їзди.","Lightweight gravel bike for travel and daily riding.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","metro-step-through","Metro Step Through","Metro Step Through","790.00","CityLife","M","28""","Aluminum","V-Brake","Rigid","8","new","out_of_stock","Міський байк зі зручною низькою рамою.","City bike with low step-through frame.","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
