"category_slug","category_name_uk","category_name_en","slug","name_uk","name_en","price","brand","frame_size","wheel_size","frame_material","brake_type","fork_type","gears","condition","availability","description_uk","description_en","image_url"
"mtb","Гірські","MTB","mtb-summit-alpha-01","Summit Alpha 01","Summit Alpha 01","1899.00","Summit","S","27.5""","Aluminum","Hydraulic Disc","Air Suspension 120mm","11","new","in_stock","Надійний MTB для трейлів","Reliable MTB for trails","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-summit-alpha-02","Summit Alpha 02","Summit Alpha 02","2099.00","Summit","M","29""","Aluminum","Hydraulic Disc","Air Suspension 140mm","12","new","in_stock","Потужний MTB для складних маршрутів","Powerful MTB for demanding routes","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-summit-pro-03","Summit Pro 03","Summit Pro 03","2699.00","Summit","L","29""","Carbon","Hydraulic Disc","Air Suspension 150mm","12","new","in_stock","Легка карбонова рама і точне керування","Light carbon frame with precise handling","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-terra-ridge-04","Terra Ridge 04","Terra Ridge 04","1599.00","Terra","S","27.5""","Aluminum","Mechanical Disc","Coil Suspension 100mm","10","new","in_stock","Бюджетний MTB для старту","Entry MTB for beginners","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-terra-ridge-05","Terra Ridge 05","Terra Ridge 05","1749.00","Terra","M","29""","Aluminum","Mechanical Disc","Coil Suspension 120mm","10","new","in_stock","Комфортний велосипед для бездоріжжя","Comfortable bike for off-road","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-volt-mountain-e06","Volt Mountain E06","Volt Mountain E06","3899.00","Volt","L","29""","Aluminum","Hydraulic Disc","Air Suspension 140mm","10","new","in_stock","Електро-MTB для довгих підйомів","E-MTB for long climbs","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-retro-trail-07","Retro Trail 07","Retro Trail 07","999.00","Retro","M","27.5""","Steel","V-Brake","Rigid","8","used","in_stock","Перевірений часом MTB","Classic used MTB","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-summit-enduro-08","Summit Enduro 08","Summit Enduro 08","3399.00","Summit","L","27.5""","Carbon","Hydraulic Disc","Air Suspension 160mm","12","new","in_stock","Ендуро для агресивного катання","Enduro for aggressive riding","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-citylife-cross-09","CityLife Cross 09","CityLife Cross 09","1199.00","CityLife","M","29""","Aluminum","Mechanical Disc","Coil Suspension 80mm","9","new","in_stock","Гібрид міста і трейлу","City-trail hybrid MTB","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"mtb","Гірські","MTB","mtb-nomad-rock-10","Nomad Rock 10","Nomad Rock 10","1490.00","Nomad","S","27.5""","Aluminum","Hydraulic Disc","Air Suspension 100mm","11","new","out_of_stock","Маневрений MTB для лісових стежок","Agile MTB for forest tracks","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
